0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	50	48	3	12	3	4	7	115	7	1	2	1	1	262	0
0	6	23	22	0	2	2	0	11	66	1	0	5	0	0	138	0
1	6	23	47	1	2	6	1	0	148	2	1	0	1	0	239	0
0	9	74	17	0	1	2	0	1	44	3	1	1	2	1	156	0
2	12	12	38	0	2	0	3	2	25	6	6	-1	0	0	107	0
2	8	22	84	0	7	4	2	17	86	-2	-3	2	8	0	237	0
3	0	33	58	0	9	12	3	11	0	8	1	0	10	2	-1132	1296
15	42	40	52	17	13	19	4	26	0	0	7	18	4	6	8	271
6	47	177	134	17	51	40	6	54	204	27	0	4	19	4	12	802
31	79	115	181	12	104	70	22	124	466	69	26	29	48	32	18	1426
23	49	258	205	3	83	4	5	34	253	47	-8	43	37	5	2	1043
10	35	278	181	3	56	98	1	104	134	157	53	20	10	4	30	1174
-21	45	374	42	1	31	50	-6	-66	564	117	-10	4	42	-4	-19	1144
19	46	130	134	12	59	48	11	153	267	32	13	32	16	23	47	1042
42	182	546	449	11	250	74	42	191	661	163	11	43	77	24	35	2801
58	158	591	709	41	131	154	33	134	464	164	47	64	119	51	40	2958
62	135	922	559	21	267	1	34	220	45	137	41	42	173	38	8	2705
20	158	139	690	23	95	285	7	283	3	115	0	39	39	29	23	1948
14	53	4	1242	5	172	71	0	177	2070	124	13	36	47	33	1	4062
55	143	1537	862	13	273	100	27	281	703	193	137	95	158	78	109	4764
86	208	721	804	17	134	219	19	376	879	221	66	99	148	67	54	4118
48	228	1214	1435	11	403	3	26	207	727	225	30	98	182	74	43	4954
60	299	878	1488	30	166	428	15	463	1311	155	72	137	164	74	40	5780
108	206	1620	1669	19	281	72	49	340	1372	241	45	103	127	42	0	6294
116	303	1162	2839	26	487	288	48	582	1571	372	156	134	363	135	134	8716
37	111	1391	821	8	192	138	10	331	1047	142	76	71	87	65	88	4615
83	179	1076	1687	17	162	120	40	319	1126	173	47	126	152	76	70	5453
